zpid,longitude,latitude,bathrooms,bedrooms,address,zipcode,living_area,lot_area,lot_area_unit,home_type,price,rent_zestimate,sale_zestimate,time_on_zillow
3864857,-87.62608,41.889942,1.0,1.0,405 N Wabash Ave UNIT 414,60611,650.0,,,CONDO,300000.0,,,180849000
3873294,-87.62811,41.868755,3.0,2.0,1143 S Plymouth Ct APT 111,60605,1400.0,,,CONDO,395000.0,2960.0,388000.0,183829000
87703855,-87.629906,41.873783,2.0,3.0,740 S Federal St APT 310,60605,1260.0,,,CONDO,299000.0,,,185928000
63699802,-87.640755,41.89341,2.0,2.0,645 N Kingsbury St APT 1406,60654,985.0,,,CONDO,415000.0,,,187136000
118958014,-87.62564,41.88132,2.0,2.0,60 E Monroe St UNIT 2107,60603,1491.0,,,CONDO,689000.0,,,191968000
89922615,-87.62678,41.866173,1.0,1.0,1255 S State St UNIT 905,60601,640.0,,,CONDO,250000.0,,,193152000
70470479,-87.62572,41.88392,2.0,2.0,130 N Garland Ct APT 2412,60602,0.0,,,CONDO,499000.0,,,196725000
159466748,-87.64666,41.884834,2.0,2.0,720 W Randolph St APT 907,60661,1500.0,,,CONDO,700000.0,,,197058000
58368697,-87.62464,41.867943,2.0,2.0,1142 S Michigan Ave APT 6B,60605,1650.0,,,CONDO,600000.0,,,199153000
2126587314,-87.650406,41.878227,2.0,2.0,225 S Sangamon St UNIT 912,60607,1220.0,,,CONDO,549000.0,3322.0,542600.0,199153000
3865693,-87.62382,41.89639,1.0,1.0,777 N Michigan Ave APT 2808,60611,950.0,,,CONDO,265000.0,,,205439000
3847767,-87.6212,41.8937,3.0,3.0,1000 N Lake Shore Dr APT 305,60611,1700.0,,,CONDO,380000.0,,,207246000
58366705,-87.63613,41.889545,1.0,1.0,333 W Hubbard St APT 601,60654,1076.0,,,CONDO,369000.0,,,208160000
63700304,-87.63016,41.89267,1.0,1.0,600 N Dearborn St APT 706,60654,700.0,,,CONDO,315000.0,,,209047000
89970151,-87.62463,41.86774,1.0,1.0,1160 S Michigan Ave APT 1704,60605,0.0,,,CONDO,285000.0,,,210846000
3867252,-87.61512,41.89244,1.0,1.0,540 N Lake Shore Dr APT 607,60611,1128.0,,,CONDO,400000.0,2514.0,385100.0,211509000
58368571,-87.62153,41.89237,1.0,1.0,211 E Ohio St APT 2717,60611,0.0,,,CONDO,225000.0,2187.0,225700.0,211509000
58368791,-87.64039,41.879654,2.0,2.0,130 S Canal St APT 517,60606,1350.0,,,CONDO,475000.0,,,211509000
101271555,-87.648285,41.88011,1.0,1.0,125 S Green St #705A,60607,0.0,,,CONDO,399900.0,2767.0,414300.0,211509000
441826115,-87.625275,41.879898,3.0,2.0,65 E Monroe St UNIT 4623,60603,1669.0,,,CONDO,925000.0,,876900.0,216049000
60267947,-87.641846,41.895363,2.0,2.0,525 W Superior St APT 124,60654,1500.0,,,CONDO,574900.0,,,218055000
70474750,-87.6228,41.865414,2.0,2.0,125 E 13th St UNIT 1002,60605,1300.0,,,CONDO,425000.0,,,221064000
113960852,-87.63333,41.874077,2.0,2.0,611 S Wells St #2609,60610,1385.0,,,CONDO,455000.0,,,230351000
101228992,-87.62924,41.89282,3.0,3.0,33 W Ontario St APT 14B,60654,2600.0,,,CONDO,950000.0,,,268448000
80846918,-87.64387,41.887722,1.0,1.0,330 N Jefferson St APT 1002,60661,864.0,,,CONDO,349000.0,,,283754000
2053552487,-87.63471,41.872475,1.0,1.0,234 W Polk St #2608,60607,935.0,,,CONDO,550000.0,2710.0,,288248000
3869046,-87.616516,41.884716,1.0,1.0,400 E Randolph St APT 828,60601,860.0,,,CONDO,315000.0,,,292426000
3873589,-87.64921,41.876865,2.0,1.0,331 S Peoria St APT 401,60607,1100.0,,,CONDO,360899.0,,,292426000
60203319,-87.64387,41.887722,2.0,2.0,330 N Jefferson St APT 1601,60661,1285.0,,,CONDO,489900.0,2588.0,482600.0,293303000
49911160,-87.644714,41.8783,1.0,1.0,728 W Jackson Blvd APT 324,60661,900.0,,,CONDO,275000.0,,,304762000
3871056,-87.61442,41.885727,2.0,2.0,195 N Harbor Dr APT 4105,60601,1294.0,,,CONDO,400000.0,3470.0,390700.0,312253000
87700344,-87.6269,41.861626,2.0,2.0,1503 S State St APT 513,60605,0.0,,,CONDO,330000.0,2716.0,341400.0,359674000
87706687,-87.6237,41.865414,2.0,2.0,1305 S Michigan Ave APT 1508,60605,0.0,,,CONDO,399000.0,2881.0,416300.0,360555000
65568504,-87.626045,41.893887,3.0,3.0,55 E Erie St APT 1403,60611,2028.0,,,CONDO,1100000.0,5838.0,1077700.0,363267000
3870119,-87.61479,41.88492,2.0,2.0,155 N Harbor Dr APT 1303,60601,1465.0,,,CONDO,529500.0,,,363870000
2075723103,-87.61972,41.8865,3.0,2.0,225 N Columbus Dr UNIT 8008,60601,1880.0,,,CONDO,1400000.0,6248.0,1331500.0,369846000
65570078,-87.64178,41.87991,2.0,2.0,125 S Jefferson St UNIT 2107,60606,1370.0,,,CONDO,449999.0,,,371061000
446406934,-87.628815,41.89618,4.0,3.0,14 W Superior St UNIT 6402,60654,3218.0,,,CONDO,3600000.0,,,371664000
446406439,-87.628815,41.89618,5.0,4.0,14 W Superior St UNIT 6900,60654,6085.0,,,CONDO,7995000.0,,,372564000
70470466,-87.62572,41.88392,2.0,2.0,130 N Garland Ct APT 2307,60602,1400.0,,,CONDO,710000.0,,,374962000
58366768,-87.63613,41.889545,4.0,3.0,333 W Hubbard St APT 1006,60654,5020.0,,,CONDO,1975000.0,,,380961000
3861910,-87.63836,41.894993,2.0,1.0,368 W Huron St APT 4S,60654,2100.0,,,CONDO,750000.0,,,386044000
101280179,-87.62927,41.89304,2.0,2.0,33 W Ontario St APT 29H,60654,1275.0,,,CONDO,415000.0,,,443372000
3864497,-87.6239,41.891865,1.0,0.0,535 N Michigan Ave APT 1214,60611,525.0,,,CONDO,209000.0,1969.0,203800.0,558564000
3870493,-87.61479,41.88492,2.0,1.0,155 N Harbor Dr APT 4004,60601,998.0,,,CONDO,465000.0,2664.0,449400.0,566960000
2069879768,-87.61815,41.890278,1.0,0.0,440 N McClurg Ct APT 914,60611,500.0,,,CONDO,169000.0,,,616737000
121074329,-87.636665,41.89626,1.0,1.0,757 N Orleans St #1303,60610,983.0,,,CONDO,409990.0,,,622173000
87724498,-87.621574,41.86615,1.0,1.0,1235 S Prairie Ave APT 3307,60605,930.0,,,CONDO,369000.0,2446.0,368000.0,625452000
2068683612,-87.61559,41.891743,3.0,2.0,451 E Grand Ave #4704,60611,1737.0,,,CONDO,1699000.0,6692.0,1636300.0,629058000
3873799,-87.64869,41.876286,4.0,4.0,400 S Green St APT 305,60607,2781.0,,,CONDO,1049999.0,,,629665000
446233134,-87.63489,41.885376,4.0,3.0,223 W Lake St #PENTHOUSE 5S,60606,3308.0,,,CONDO,1550000.0,,1497100.0,632352000
80826980,-87.61459,41.890835,1.0,1.0,474 N Lake Shore Dr APT 3404,60611,741.0,,,CONDO,275000.0,,,637151000
58367919,-87.61682,41.893208,1.0,1.0,401 E Ontario St APT 1904,60611,800.0,,,CONDO,283900.0,,,642842000
113963285,-87.625175,41.860516,1.0,2.0,50 E 16th St UNIT 809,60616,0.0,,,CONDO,345000.0,,,645860000
439204165,-87.62642,41.888954,3.0,2.0,401 N Wabash Ave UNIT 73F,60611,2000.0,,,CONDO,1950000.0,,1856000.0,647955000
2080487500,-87.625275,41.879898,1.0,1.0,65 E Monroe St UNIT 4510,60603,950.0,,,CONDO,329000.0,,,650662000
101333818,-87.62927,41.89304,2.0,2.0,33 W Ontario St APT 44A,60654,1350.0,,,CONDO,425000.0,,,695059000
3863672,-87.62902,41.887913,2.0,2.0,300 N State St APT 5705,60654,1225.0,,,CONDO,499000.0,,,705247000
65570093,-87.64178,41.87991,1.0,1.0,125 S Jefferson St UNIT 2305,60606,675.0,,,CONDO,258000.0,,,707350000
3863528,-87.62902,41.887913,1.0,1.0,300 N State St APT 4105,60654,725.0,,,CONDO,289000.0,,,709456000
62013477,-87.64117,41.875015,2.0,2.0,500 S Clinton St APT 543,60607,1347.0,,,CONDO,374999.0,,,710945000
54538022,-87.6291,41.894615,2.0,3.0,33 W Huron St APT 511,60654,1745.0,,,CONDO,799900.0,4875.0,790000.0,713330000
121069882,-87.636665,41.89626,2.0,2.0,757 N Orleans St #2112,60610,1248.0,,,CONDO,599000.0,,,713946000
101471295,-87.61725,41.891483,1.0,1.0,505 N McClurg Ct APT 1306,60611,1053.0,,,CONDO,399000.0,,,724170000
306333870,-87.63853,41.894867,3.0,3.0,400 W Huron St UNIT 1002,60654,2200.0,,,CONDO,1390000.0,,,725647000
3865213,-87.62608,41.889942,1.0,1.0,405 N Wabash Ave UNIT 2913,60611,950.0,,,CONDO,325000.0,2398.0,318400.0,726261000
446068229,-87.63298,41.88985,1.0,0.0,400 N Lasalle Dr #903,60614,0.0,,,CONDO,240000.0,,249300.0,727150000
2092179945,-87.63766,41.89408,3.0,3.0,360 W Erie St #6C,60654,1884.0,,,CONDO,1295000.0,,,729849000
60267787,-87.64186,41.894836,1.0,1.0,520 W Huron St APT 405,60654,825.0,,,CONDO,265000.0,,,730445000
3864055,-87.62903,41.888073,1.0,1.0,300 N State St APT 5130,60654,725.0,,,CONDO,247000.0,,,732850000
80835144,-87.62102,41.88652,1.0,1.0,222 N Columbus Dr APT 2304,60601,611.0,,,CONDO,289000.0,,,737383000
99345673,-87.63326,41.874146,1.0,1.0,611 S Wells St #1101,60610,800.0,,,CONDO,255000.0,,,792248000
70472267,-87.62536,41.86874,2.0,2.0,1111 S Wabash Ave APT 1103,60605,1207.0,,,CONDO,405000.0,2966.0,404700.0,792864000
3876469,-87.62359,41.863064,2.0,2.0,1439 S Michigan Ave APT 505,60605,1150.0,,,CONDO,440000.0,,,797376000
402647974,-87.61735,41.88715,2.0,2.0,363 E Wacker Dr #4304,60601,1720.0,,,CONDO,1795000.0,,,797376000
101303044,-87.62368,41.86454,2.0,2.0,100 14th St APT 2709,60605,1252.0,,,CONDO,445000.0,,,798852000
60203555,-87.62153,41.89237,1.0,0.0,211 E Ohio St APT 2123,60611,0.0,,,CONDO,180000.0,,,804556000
70474987,-87.62122,41.86559,2.0,2.0,233 E 13th St APT 610,60605,0.0,,,CONDO,435000.0,,,806358000
99357165,-87.62927,41.89304,1.0,0.0,33 W Ontario St APT 29D,60654,600.0,,,CONDO,219000.0,,,809047000
58366480,-87.63938,41.89369,2.0,1.0,435 W Erie St APT 1906,60654,1015.0,,,CONDO,359900.0,,,809950000
70466804,-87.64333,41.895164,2.0,2.0,720 N Larrabee St APT 1611,60654,0.0,,,CONDO,409900.0,,,810567000
3873155,-87.62808,41.87015,2.0,3.0,901 S Plymouth Ct APT 1203,60605,1550.0,,,CONDO,425000.0,,,812636000
113965838,-87.62642,41.888954,2.0,1.0,401 N Wabash Ave #76E,60601,1017.0,,,CONDO,775000.0,,,813556000
101276699,-87.62927,41.89304,3.0,3.0,33 W Ontario St #47E,60610,2700.0,,,CONDO,1095000.0,,,815356000
89897756,-87.62463,41.86774,2.0,2.0,1160 S Michigan Ave APT 3005,60605,1479.0,,,CONDO,499000.0,,,817458000
70474965,-87.62122,41.86559,2.0,2.0,233 E 13th St APT 402,60605,1346.0,,,CONDO,455000.0,,,819868000
87701817,-87.621574,41.86615,1.0,1.0,1235 S Prairie Ave APT 2808,60605,900.0,,,CONDO,355000.0,,,821377000
377538400,-87.61735,41.88715,2.0,3.0,363 E Wacker Dr #3402,60601,2336.0,,,CONDO,1969900.0,,,821377000
60203195,-87.6283,41.893764,1.0,1.0,630 N State St APT 1309,60654,0.0,,,CONDO,325000.0,,,822856000
80833663,-87.61459,41.890835,2.0,2.0,474 N Lake Shore Dr APT 3002,60611,1257.0,,,CONDO,430000.0,3572.0,420700.0,826777000
87701323,-87.64222,41.895775,2.0,1.0,500 W Superior St UNIT 613,60654,1220.0,,,CONDO,697747.0,,,833360000
63700333,-87.63016,41.89267,2.0,2.0,600 N Dearborn St APT 1011,60654,1212.0,,,CONDO,459000.0,,,862141000
101488640,-87.62368,41.86454,2.0,2.0,100 14th St #1804,60605,1350.0,,,CONDO,525000.0,,,880173000
70472302,-87.62536,41.86874,2.0,1.0,1111 S Wabash Ave APT 1505,60605,923.0,,,CONDO,315000.0,,,880466000
63700378,-87.63016,41.89267,2.0,2.0,600 N Dearborn St APT 1511,60654,1185.0,,,CONDO,400000.0,,,881384000
2093629021,-87.63485,41.890533,3.0,2.0,215 W Illinois St APT 6B,60654,3000.0,,,CONDO,1299000.0,,,884660000
63701302,-87.63419,41.883335,2.0,2.0,208 W Washington St APT 1707,60606,900.0,,,CONDO,305000.0,2647.0,300500.0,886748000
60203851,-87.64117,41.875015,1.0,1.0,500 S Clinton St APT 740,60607,,,,CONDO,249000.0,,,887662000
121073719,-87.650406,41.878227,2.0,2.0,225 S Sangamon St UNIT 408,60607,1000.0,,,CONDO,400000.0,,,887662000
2075777047,-87.62642,41.888954,3.0,2.0,401 N Wabash Ave UNIT 36K,60611,2063.0,,,CONDO,2100000.0,,,891554000
65570076,-87.64178,41.87991,1.0,1.0,125 S Jefferson St #2105,60606,0.0,,,CONDO,230000.0,2276.0,233800.0,893665000
119088061,-87.62815,41.88095,1.0,1.0,8 W Monroe St APT 1401,60603,700.0,,,CONDO,199999.0,,,894851000
65565552,-87.64219,41.89429,2.0,2.0,510 W Erie St APT 906,60610,1255.0,,,CONDO,569000.0,,,895457000
54538148,-87.63583,41.891804,2.0,2.0,300 W Grand Ave APT 309,60654,1300.0,,,CONDO,485000.0,,,896962000
101361042,-87.62982,41.886063,1.0,1.0,200 N Dearborn St UNIT 1807,60601,860.0,,,CONDO,247500.0,,,896962000
101448548,-87.64811,41.879475,2.0,2.0,125 S Green St APT 1006A,60607,0.0,,,CONDO,609995.0,,,896962000
3873810,-87.64869,41.876286,1.0,1.0,400 S Green St APT 208,60607,1206.0,,,CONDO,399000.0,,,898159000
445920713,-87.63026,41.895092,5.0,4.0,56 W Huron St #PENTHOUSE,60654,4312.0,,,CONDO,4750000.0,,,899061000
58368831,-87.639984,41.87949,2.0,2.0,130 S Canal St APT 705,60606,1200.0,,,CONDO,375000.0,,,900270000
87720809,-87.64222,41.895775,5.0,4.0,500 W Superior St UNIT 2701,60654,4100.0,,,CONDO,2250000.0,,,901168000
101239927,-87.645035,41.884,2.0,1.0,659 W Randolph St APT 1005,60661,988.0,,,CONDO,375000.0,3241.0,371700.0,904771000
70471941,-87.62485,41.870163,2.0,2.0,910 S Michigan Ave APT 519,60605,1777.0,,,CONDO,365000.0,4787.0,368000.0,905681000
3871043,-87.61442,41.885727,2.0,2.0,195 N Harbor Dr APT 4001,60601,1174.0,,,CONDO,425000.0,,,906864000
87691727,-87.629875,41.872593,2.0,2.0,680 S Federal St APT 202,60605,1192.0,,,CONDO,335000.0,,,910462000
3868903,-87.617935,41.884876,1.0,1.0,360 E Randolph St APT 2606,60601,770.0,,,CONDO,295000.0,2263.0,286100.0,970781000
113961906,-87.625175,41.860516,1.0,1.0,50 E 16th St UNIT 414,60616,0.0,,,CONDO,290000.0,2176.0,290900.0,977657000
65569670,-87.62643,41.871788,2.0,2.0,41 E 8th St APT 2607,60605,1303.0,,,CONDO,399999.0,,,982475000
2066632887,-87.64183,41.894367,2.0,3.0,668 N Kingsbury St #206,60654,0.0,,,CONDO,925000.0,,,988770000
65565959,-87.64122,41.89354,4.0,3.0,653 N Kingsbury St APT 2302,60654,3500.0,,,CONDO,1699999.0,7580.0,1666700.0,993263000
87695246,-87.64309,41.894608,2.0,2.0,700 N Larrabee St APT 1408,60654,1200.0,,,CONDO,499000.0,,,995962000
3866118,-87.61671,41.894665,2.0,3.0,680 N Lake Shore Dr APT 615,60611,1600.0,,,CONDO,499500.0,4143.0,489300.0,1025055000
87689696,-87.61622,41.887146,2.0,2.0,420 E Waterside Dr UNIT 2812,60601,1586.0,,,CONDO,825000.0,4644.0,798200.0,1045478000
70469773,-87.62713,41.89449,4.0,3.0,21 E Huron St APT 4301,60611,3200.0,,,CONDO,2400000.0,,,1061956000
87689740,-87.63523,41.894566,1.0,1.0,225 W Huron St APT 520,60654,820.0,,,CONDO,299000.0,,,1081472000
2098684486,-87.620316,41.887794,3.0,2.0,363 E Wacker Dr #3103,60601,2260.0,,,CONDO,1950000.0,3001.0,1861300.0,1132136000
3866871,-87.62131,41.89365,1.0,1.0,230 E Ontario St APT 805,60611,875.0,,,CONDO,219000.0,2311.0,213000.0,1164580000
2097842872,-87.626015,41.889767,4.0,3.0,403 N Wabash Ave #11A,60611,2424.0,,,CONDO,1599000.0,,,1170874000
70471163,-87.61612,41.88616,3.0,3.0,201 N Westshore Dr APT 1301,60601,1786.0,,,CONDO,825000.0,,,1222175000
2101903457,-87.64812,41.879906,1.0,1.0,123 S Green St APT 1009B,60607,800.0,,,CONDO,365000.0,2420.0,362700.0,1226590000
3864248,-87.62531,41.89504,4.0,2.0,100 E Huron St APT 2705,60611,3000.0,,,CONDO,1500000.0,,,1227873000
99357670,-87.62499,41.88234,3.0,3.0,6 N Michigan Ave UNIT 1403,60602,1976.0,,,CONDO,825000.0,4898.0,813400.0,1229057000
65568353,-87.626045,41.893887,3.0,3.0,55 E Erie St APT 5001,60611,4200.0,,,CONDO,2445000.0,,,1229933000
80848236,-87.635864,41.893406,1.0,1.0,630 N Franklin St APT 406,60654,720.0,,,CONDO,270000.0,2382.0,268900.0,1233260000
121069450,-87.63479,41.876556,1.0,1.0,235 W Van Buren St UNIT 3218,60607,696.0,,,CONDO,259900.0,,,1238337000
58367693,-87.61682,41.893208,1.0,1.0,401 E Ontario St APT 4604,60611,800.0,,,CONDO,275000.0,,,1240478000
402593104,-87.61735,41.88715,3.0,3.0,363 E Wacker Dr #4308,60601,2546.0,,,CONDO,3150000.0,,,1250026000
3867067,-87.61702,41.893105,2.0,2.0,400 E Ohio St APT 1101,60611,1650.0,,,CONDO,449000.0,,,1251263000
80845416,-87.62572,41.88392,5.0,4.0,130 N Garland Ct APT 5301,60602,3310.0,,,CONDO,1909999.0,,,1252750000
3865318,-87.62608,41.889942,1.0,1.0,405 N Wabash Ave UNIT 3805,60611,765.0,,,CONDO,325000.0,2157.0,318400.0,1253068000
444906664,-87.61794,41.884884,3.0,3.0,360 E Randolph St #2805-2806,60601,2600.0,,,CONDO,899000.0,,,1256361000
49911103,-87.64483,41.87842,2.0,2.0,728 W Jackson Blvd APT 516,60661,1360.0,,,CONDO,450000.0,3521.0,444500.0,1258167000
159467402,-87.63465,41.883568,2.0,3.0,212 W Washington St APT 1904,60606,1540.0,,,CONDO,495000.0,,,1258457000
121068280,-87.61814,41.89027,1.0,1.0,480 N McClurg Ct APT 1202,60611,750.0,,,CONDO,325000.0,2164.0,312500.0,1259369000
3871823,-87.62947,41.874146,1.0,1.0,600 S Dearborn St APT 2105,60605,900.0,,,CONDO,290000.0,2086.0,283900.0,1296269000
49911377,-87.64483,41.87842,2.0,2.0,728 W Jackson Blvd APT 703,60661,1450.0,,,CONDO,425000.0,,,1304352000
65545149,-87.63778,41.89623,3.0,3.0,353 W Chicago Ave APT 4E,60654,0.0,,,CONDO,799995.0,,,1314242000
63699827,-87.640755,41.89341,2.0,2.0,645 N Kingsbury St APT 1801,60654,1225.0,,,CONDO,419900.0,3449.0,419300.0,1319933000
2053350274,-87.623276,41.89038,4.0,3.0,435 N Michigan Ave UNIT 1701,60611,3374.0,,,CONDO,4000000.0,,,1322666000
2118451103,-87.64983,41.860832,2.0,2.0,1524 S Sangamon St UNIT 301,60608,1250.0,,,CONDO,349000.0,,,1327174000
89927532,-87.62463,41.86774,3.0,2.0,1160 S Michigan Ave APT 2401,60605,1571.0,,,CONDO,599000.0,2140.0,593800.0,1335542000
3869220,-87.616516,41.884716,1.0,0.0,400 E Randolph St APT 1422,60601,571.0,,,CONDO,209999.0,,,1342164000
99346818,-87.61461,41.892853,2.0,2.0,600 N Lake Shore Dr APT 1709,60611,1290.0,,,CONDO,635000.0,,,1343358000
70430501,-87.64026,41.895916,3.0,4.0,738 N Hudson Ave,60654,3100.0,1180.0,sqft,TOWNHOUSE,1199000.0,7070.0,1183800.0,1351766000
89949693,-87.62678,41.866173,1.0,1.0,1255 S State St #608,60601,860.0,,,CONDO,259000.0,,,1377869000
444236558,-87.63227,41.888863,1.0,0.0,345 N La Salle Dr #2909,60610,570.0,,,CONDO,259891.0,,,1394359000
101370256,-87.62486,41.882305,1.0,1.0,6 N Michigan Ave UNIT 809,60602,906.0,,,CONDO,299000.0,,,1403958000
70449780,-87.64419,41.878937,2.0,2.0,210 S Desplaines St APT 312,60661,1365.0,,,CONDO,439000.0,,,1404859000
3865200,-87.62608,41.889942,1.0,1.0,405 N Wabash Ave UNIT 2813,60611,950.0,,,CONDO,339000.0,,,1406077000
70470835,-87.62572,41.88392,2.0,3.0,130 N Garland Ct APT 3202,60602,1653.0,,,CONDO,750000.0,4031.0,729100.0,1409066000
101379753,-87.61461,41.892853,2.0,1.0,600 N Lake Shore Dr APT 4407,60611,1116.0,,,CONDO,565000.0,3461.0,550200.0,1410557000
70471627,-87.62625,41.87085,2.0,2.0,40 E 9th St APT 1509,60605,1343.0,,,CONDO,319000.0,,,1413564000
101346592,-87.61461,41.892853,4.0,3.0,600 N Lake Shore Dr APT 3205,60611,2540.0,,,CONDO,1800000.0,7403.0,1721900.0,1413872000
49911355,-87.64483,41.87842,2.0,2.0,728 W Jackson Blvd APT 508,60661,1400.0,,,CONDO,500000.0,,,1414767000
63698919,-87.6437,41.895943,2.0,3.0,758 N Larrabee St APT 601,60654,1800.0,,,CONDO,625000.0,,,1416274000
99357237,-87.64471,41.884003,2.0,2.0,659 W Randolph St #1416,60661,1230.0,,,CONDO,450000.0,3843.0,447100.0,1416567000
113958534,-87.625175,41.86052,2.0,2.0,50 E 16th St UNIT 1315,60616,1118.0,,,CONDO,372000.0,2656.0,371800.0,1424643000
3865768,-87.62382,41.89639,1.0,0.0,777 N Michigan Ave APT 3603,60611,600.0,,,CONDO,179000.0,,,1424970000
63702065,-87.61805,41.891663,2.0,2.0,512 N McClurg Ct APT 3901,60611,1440.0,,,CONDO,499000.0,,,1427671000
101328605,-87.62927,41.89304,3.0,3.0,33 W Ontario St APT 45B,60654,1880.0,,,CONDO,750000.0,,,1477765000
2068032844,-87.64392,41.875874,2.0,2.0,210 S Des Plaines St #501,60607,1350.0,,,CONDO,475000.0,3418.0,470100.0,1486759000
70468290,-87.634415,41.89137,4.0,4.0,201 W Grand Ave APT 901,60654,3700.0,,,CONDO,1995000.0,,,1487060000
3869329,-87.616516,41.884716,1.0,0.0,400 E Randolph St APT 1811,60601,650.0,,,CONDO,389000.0,,,1488516000
101482340,-87.62927,41.89304,2.0,2.0,33 W Ontario St APT 50F,60654,1300.0,,,CONDO,425000.0,,,1494831000
159464529,-87.62468,41.894466,3.0,3.0,118 E Erie St UNIT 31G,60611,2874.0,,,CONDO,1749999.0,2719.0,,1498468000
65545162,-87.63016,41.89267,3.0,3.0,600 N Dearborn St APT 2010,60654,2500.0,,,CONDO,775000.0,6990.0,787700.0,1498752000
99357588,-87.61725,41.891483,2.0,2.0,505 N McClurg Ct APT 2602,60611,1464.0,,,CONDO,760000.0,,,1499368000
2075420706,-87.61559,41.891743,4.0,3.0,451 E Grand Ave #5205,60611,3431.0,,,CONDO,2895000.0,,,1500562000
2083642385,-87.63025,41.895084,4.0,3.0,56 W Huron St APT 11,60654,2423.0,,,CONDO,1850000.0,,,1514065000
2076815916,-87.61735,41.887146,4.0,3.0,363 E Wacker Dr #3009,60601,2721.0,,,CONDO,2600000.0,,,1545878000
63699287,-87.64222,41.89428,2.0,2.0,510 W Erie St APT 1301,60610,0.0,,,CONDO,649900.0,,,1549173000
352622701,-87.61479,41.88492,4.0,3.0,155 N Harbor Dr #1312-13,60601,2500.0,,,CONDO,1375000.0,,,1574361000
70449419,-87.63945,41.887405,3.0,3.0,333 N Canal St APT 2205,60606,3700.0,,,CONDO,1449000.0,,,1588767000
